mean_acc_x,mean_acc_y,mean_acc_z,mean_gyro_x,mean_gyro_y,mean_gyro_z,std_acc_x,std_acc_y,std_acc_z,std_gyro_x,Activity
-0.005946,0.037340,9.758091,-0.005487,0.007137,0.004745,0.039913,0.033823,0.071570,0.007933,SITTING
0.035193,0.020132,9.862266,-0.001877,0.004788,0.004864,0.020648,0.021366,0.040758,0.004999,SITTING
0.038289,0.006094,9.859676,0.008937,0.004878,0.005660,0.018074,0.027358,0.034763,0.000572,SITTING
0.017710,0.039102,9.821710,-0.002565,0.005646,0.004570,0.021647,0.026546,0.068994,0.009612,SITTING
0.012317,0.044269,9.818319,-0.004119,0.009034,0.001563,0.011232,0.038153,0.033101,0.003001,SITTING
0.024594,0.013439,9.818767,-0.004509,0.005727,0.001480,0.014021,0.026103,0.009209,0.001036,SITTING
0.016325,0.025706,9.852403,-0.000699,0.000690,0.006313,0.024510,0.028640,0.075964,0.004808,SITTING
0.022093,0.046430,9.860807,-0.001069,-0.008330,-0.001756,0.019764,0.008246,0.050523,0.007677,SITTING
-0.010278,0.009802,9.778718,-0.003558,0.003617,-0.000205,0.027202,0.015174,0.084549,0.002109,SITTING
0.014464,0.029537,9.826505,0.005405,-0.006218,0.003939,0.010939,0.027766,0.028276,0.006778,SITTING
-0.010124,-0.023607,9.861886,-0.000338,0.004019,-0.004301,0.002345,0.006008,0.076592,0.003142,SITTING
0.011740,-0.007483,9.763983,-0.004367,0.000729,-0.002075,0.023823,0.020530,0.027818,0.001051,SITTING
0.031600,0.013587,9.800634,-0.001450,0.004383,-0.008546,0.010158,0.035312,0.057388,0.002106,SITTING
0.040401,-0.002343,9.852190,-0.006445,0.003859,-0.006954,0.039080,0.033969,0.048891,0.004886,SITTING
0.006523,0.018007,9.813241,0.002555,0.001742,0.003986,0.028984,0.015845,0.072228,0.010420,SITTING
0.024264,0.010330,9.817000,0.001795,-0.006238,-0.000052,0.013591,0.013507,0.039293,0.005835,SITTING
0.008392,0.013836,9.837526,0.007377,0.011936,-0.001079,0.022742,0.014284,0.082279,0.006438,SITTING
0.003731,0.033776,9.828063,-0.002596,0.000806,-0.003123,0.018532,0.026171,0.079751,0.008509,SITTING
0.064930,0.011804,9.820584,-0.005511,0.003950,0.005029,0.029064,0.003252,0.055713,0.006254,SITTING
0.017916,0.013578,9.813473,-0.000130,0.005331,-0.002868,0.013746,0.016982,0.043318,0.009032,SITTING
-0.002358,-0.002295,9.822283,0.004771,-0.000079,-0.002345,0.011361,0.031518,0.072626,0.002264,SITTING
-0.001029,-0.026665,9.778430,0.001607,0.010171,-0.000081,0.020079,0.028983,0.053638,0.005863,SITTING
0.013902,0.019895,9.759920,0.008428,0.005696,0.008002,0.030601,0.004659,0.070935,0.005572,SITTING
0.009838,-0.007086,9.815528,0.001952,-0.004801,-0.000592,0.029768,0.014000,0.031871,0.007926,SITTING
0.010163,0.017833,9.824830,0.005087,-0.000535,0.005144,0.026626,0.022253,-0.002401,0.005155,SITTING
0.009734,0.041830,9.763044,0.003638,-0.001421,-0.007591,0.022811,0.032865,0.041308,0.011014,SITTING
0.008449,0.025068,9.744962,-0.003694,-0.003901,0.000022,0.006764,0.026130,0.096269,0.001546,SITTING
0.005765,0.022826,9.795153,0.008715,0.000734,0.004416,0.011032,0.018953,0.065936,0.007501,SITTING
0.021604,0.048771,9.817333,0.006068,-0.000288,0.003755,0.009028,0.017802,0.028519,0.005306,SITTING
-0.009383,0.001912,9.889192,-0.000649,0.002589,0.003539,0.017191,0.014422,0.070124,0.005924,SITTING
-0.009401,0.059948,9.813563,0.003821,0.001659,0.005806,0.016955,0.038475,0.064433,0.005100,SITTING
0.025839,0.053481,9.803537,-0.010326,-0.002311,-0.008761,0.004888,0.028042,0.070979,0.006358,SITTING
0.033135,0.005575,9.813468,0.006710,-0.004555,0.009936,0.014011,0.022241,0.070449,0.003817,SITTING
0.015621,-0.001230,9.731844,0.005121,0.001684,0.000800,0.007135,0.024576,0.016957,0.006435,SITTING
0.028440,0.008219,9.818073,0.002258,0.002516,0.003809,0.012228,0.008945,0.046376,0.005570,SITTING
-0.032023,0.041738,9.853088,0.000157,0.002511,-0.004766,0.042632,0.008681,0.038430,0.003795,SITTING
0.008035,0.031631,9.733190,-0.000323,0.007004,0.004760,0.031883,0.034648,0.069746,0.009584,SITTING
-0.002754,0.019529,9.777570,0.002225,0.002174,-0.002834,0.039369,0.023867,0.070560,0.005908,SITTING
-0.007532,-0.002376,9.801466,0.006269,0.005475,0.002426,0.009088,0.024543,0.048629,0.006454,SITTING
0.035582,0.002731,9.767213,-0.001433,0.002996,0.002429,0.026396,0.013735,0.011348,0.007830,SITTING
-0.003626,-0.004713,9.823265,0.003037,0.006343,-0.008301,0.011731,0.023592,0.067561,0.005149,SITTING
-0.017019,0.042765,9.760792,0.003820,0.001371,0.009688,0.021090,0.013907,0.048054,0.002960,SITTING
-0.031511,0.051750,9.771762,0.005858,-0.009033,0.007541,0.039004,0.028895,0.035225,0.008910,SITTING
0.015505,-0.016736,9.751787,0.000669,0.006090,-0.002220,0.019554,0.033775,0.035430,0.003759,SITTING
0.016485,0.030160,9.860467,0.002306,0.005581,-0.006494,0.032387,0.022593,0.056869,0.008135,SITTING
0.007591,0.036565,9.790051,-0.000668,-0.000948,-0.002837,0.013392,0.007292,0.048483,0.000649,SITTING
0.028385,0.009938,9.870056,0.001673,-0.006298,-0.006676,0.010244,0.032881,0.054736,0.006752,SITTING
0.009365,-0.037301,9.794060,0.001797,0.002606,0.000550,0.010883,0.002460,0.039191,-0.000150,SITTING
0.021991,0.004104,9.694177,0.003537,0.000939,0.000513,0.026082,0.023133,0.060592,0.005214,SITTING
-0.001558,0.010049,9.767829,-0.001761,0.005086,0.000912,0.020704,0.007322,0.067423,0.004375,SITTING
-0.005221,0.012368,9.824224,-0.014480,0.002038,0.003440,0.011483,0.039186,0.084325,0.005856,SITTING
-0.008010,0.002156,9.830770,-0.002925,-0.000152,-0.001002,0.026226,0.024010,0.081610,0.007645,SITTING
0.021321,0.038849,9.724910,-0.002059,-0.001916,-0.001704,0.013854,0.017829,0.089396,0.008144,SITTING
0.001984,0.016654,9.802021,0.002786,-0.002732,-0.013430,0.004808,0.024226,0.063340,0.002976,SITTING
0.021808,0.037891,9.829553,-0.012306,-0.001808,-0.006703,0.027386,0.010897,0.058553,0.008470,SITTING
0.013828,0.006487,9.816175,0.002798,0.014321,0.002438,0.003456,0.024763,0.064707,0.010440,SITTING
0.052466,0.037547,9.797516,-0.001329,-0.001274,-0.002800,0.015197,0.023087,0.041219,0.008006,SITTING
-0.024094,0.007939,9.890385,0.001243,-0.002364,-0.001676,0.020401,0.027244,0.040344,0.004102,SITTING
-0.010978,0.023672,9.765841,0.008214,0.009378,0.002584,0.031327,-0.001984,0.062653,0.002406,SITTING
0.020655,0.037725,9.792170,0.000809,0.001816,0.004828,0.016166,0.013667,0.062296,0.007736,SITTING
0.027063,0.039713,9.793713,-0.003905,0.000772,0.002315,0.035669,0.017075,0.059424,0.002426,SITTING
-0.004107,0.034771,9.852903,0.001643,-0.001478,-0.003114,0.004123,0.026684,0.044859,0.002727,SITTING
-0.007434,0.056503,9.706583,0.002941,-0.007635,0.001670,0.021482,0.019887,0.057278,0.008664,SITTING
0.022462,0.042281,9.794016,-0.000521,0.003696,0.012559,0.022068,0.015724,0.077385,0.005820,SITTING
0.002192,0.041773,9.826467,0.000378,0.001870,-0.007142,0.017081,0.022483,0.037976,0.003355,SITTING
0.003244,0.014605,9.829199,-0.002322,0.003547,0.003628,0.007393,0.008635,0.047168,0.004395,SITTING
0.022061,0.016823,9.864841,-0.000480,0.011063,-0.002824,0.021415,0.004583,0.072433,0.001110,SITTING
0.031559,0.021337,9.732691,-0.013734,-0.005499,-0.002290,0.018099,0.018131,0.056476,0.005129,SITTING
-0.002600,0.005836,9.737461,0.001764,0.012445,0.002077,0.021994,0.017893,0.046730,0.004936,SITTING
0.008592,0.043948,9.826679,-0.000120,0.004787,0.004576,0.019544,0.012008,0.061905,0.008526,SITTING
0.006224,0.005730,9.779170,0.004871,0.000890,0.005118,0.029279,-0.000189,0.048396,0.002135,SITTING
0.017405,0.011631,9.747946,0.008532,0.003034,-0.002747,0.016553,0.006562,0.037292,0.004613,SITTING
0.019124,0.019363,9.906802,-0.000240,0.005264,0.000804,0.017156,0.028570,0.026745,0.003462,SITTING
0.015330,0.008047,9.795402,-0.000725,0.010692,0.007884,0.023393,-0.000430,0.046647,0.001618,SITTING
0.006731,0.045646,9.881333,-0.003979,0.009440,-0.001562,0.023511,0.022453,0.047151,0.004008,SITTING
0.006117,0.014946,9.865160,0.002113,0.006124,-0.005541,0.012822,-0.006100,0.046812,0.008175,SITTING
0.035003,0.034873,9.897384,0.003386,-0.010931,0.007605,0.026363,0.022987,0.003779,0.001965,SITTING
0.006161,0.032882,9.794397,0.002041,-0.004992,-0.012375,0.019349,0.017232,0.074772,0.001947,SITTING
0.010648,-0.015437,9.838817,-0.001034,0.005527,0.004545,0.030882,0.008611,0.079081,0.009745,SITTING
-0.017318,0.019602,9.825633,0.008410,0.006395,0.004392,0.035198,0.025139,0.059531,0.000624,SITTING
0.010630,0.007536,9.810772,-0.008167,0.003149,-0.000345,0.012233,0.028978,0.050034,0.006622,SITTING
-0.002493,0.021168,9.837395,0.003179,0.010173,0.009367,0.024038,0.030946,0.033750,0.004709,SITTING
0.002101,0.008495,9.783865,0.000580,0.001983,0.001163,0.006840,0.021275,0.045102,0.008167,SITTING
0.009279,0.033226,9.757509,0.011395,0.005383,-0.005582,0.021801,0.011605,0.083510,0.002858,SITTING
-0.019466,0.044311,9.824046,-0.001334,-0.000453,-0.006683,0.035758,0.023082,0.056128,0.004792,SITTING
0.050416,0.004756,9.753940,0.004151,-0.000010,0.003964,0.013212,0.027151,0.061876,0.004244,SITTING
-0.020597,-0.006990,9.812991,0.005539,-0.001203,-0.000778,0.013438,0.016837,0.055864,0.000624,SITTING
0.026803,0.045189,9.733884,-0.000136,0.004862,0.002637,0.026717,0.010375,0.083101,0.004912,SITTING
-0.007514,0.035127,9.788876,-0.001444,0.000217,0.005486,0.014596,0.027811,0.058125,0.003870,SITTING
0.006816,0.007193,9.701885,-0.001793,0.007372,0.000952,0.042137,0.020337,0.071387,0.007483,SITTING
0.010226,0.019704,9.793683,0.001211,0.008499,0.000036,0.008904,0.035600,0.076916,0.007731,SITTING
-0.015305,0.005543,9.662106,-0.001454,0.003847,-0.001097,0.009052,0.048229,0.040970,0.001248,SITTING
0.003718,0.015821,9.810968,-0.000354,0.003938,0.000446,0.044274,0.016580,0.036478,0.000051,SITTING
-0.040874,0.039122,9.763895,-0.000330,-0.002930,0.009315,0.017162,0.015078,0.056519,0.004741,SITTING
-0.015859,0.026143,9.714911,0.002430,-0.007061,0.004606,0.028305,0.011602,0.033923,0.005625,SITTING
0.020375,0.003657,9.786642,0.004977,0.001108,-0.006007,0.012333,0.025345,0.057778,-0.000553,SITTING
0.006904,0.026836,9.708805,-0.011880,0.007375,0.006170,0.024449,0.030253,0.074568,0.009213,SITTING
0.022215,0.010810,9.789686,-0.007039,-0.001933,-0.008997,0.013152,0.015473,0.049215,0.001160,SITTING
0.028779,0.039065,9.810766,-0.011035,-0.000669,-0.007097,0.009710,0.023038,0.059893,-0.000223,SITTING
0.008043,0.031704,9.780289,0.001556,0.004066,0.005709,0.026347,0.009170,0.073423,0.010978,SITTING
-0.006725,0.009927,9.723571,0.003841,0.005402,0.002123,0.035669,0.017568,0.060074,0.003039,SITTING
0.021447,0.012864,9.840239,0.002088,0.006359,0.016390,0.025134,0.023824,0.082226,-0.001328,SITTING
0.007205,0.043572,9.872678,0.001255,0.006205,-0.003410,0.013231,0.032599,0.042049,0.005597,SITTING
0.022984,0.032325,9.863710,0.009131,-0.008746,0.001204,0.014370,0.019034,0.027723,0.005295,SITTING
0.002683,-0.019417,9.749140,0.000463,-0.001859,0.000548,0.030474,0.002151,0.058882,0.001252,SITTING
0.019041,0.025280,9.707436,0.004147,0.000697,0.002723,0.025179,0.019933,0.011327,-0.003076,SITTING
-0.021697,0.019208,9.749808,-0.003134,0.014561,-0.001537,0.021588,0.016601,0.049853,0.007961,SITTING
-0.001861,0.015831,9.821658,0.004099,0.005209,0.004135,0.026800,0.027006,0.066929,-0.000775,SITTING
-0.009053,0.031174,9.756082,0.001625,-0.001575,-0.004381,0.016373,0.035572,0.068107,0.002929,SITTING
-0.005249,0.014019,9.719975,-0.001693,0.000471,0.005352,0.029560,0.025475,0.048056,0.008762,SITTING
-0.008137,-0.021073,9.789164,0.002685,0.006011,0.001211,0.015539,0.021403,0.057558,0.004952,SITTING
0.018044,0.006603,9.820800,0.001377,-0.004097,0.003884,0.013511,0.039043,0.036688,0.001367,SITTING
0.008401,0.039203,9.815244,0.001220,0.003477,0.001324,0.001652,0.018768,0.033264,0.004887,SITTING
-0.000787,0.038626,9.912472,-0.001891,-0.000030,-0.003386,0.010090,0.010631,0.054458,0.009164,SITTING
0.054344,-0.000438,9.809299,0.002077,-0.004536,0.006869,0.032873,0.019548,0.068027,0.005904,SITTING
0.013771,0.054426,9.798088,-0.003367,-0.002372,0.005435,0.018861,0.016430,0.029385,0.005169,SITTING
0.017055,0.010404,9.757166,-0.001961,0.006821,0.009955,0.017740,0.025256,0.036479,0.008955,SITTING
0.000407,0.017688,9.818887,-0.006322,-0.004879,-0.003369,0.025518,0.043877,0.001928,0.002303,SITTING
0.009789,-0.000068,9.784452,0.003104,0.004737,-0.001789,0.012410,0.021801,0.046078,0.000617,SITTING
0.002723,0.031126,9.794919,0.001399,-0.003193,0.004325,0.026379,0.013059,0.047803,0.002327,SITTING
-0.013601,0.031386,9.840067,0.004772,0.009301,0.000036,0.018326,0.025006,0.044922,0.010046,SITTING
0.027920,0.043153,9.871249,-0.000866,0.018108,0.001890,0.025617,0.028887,0.062338,0.010192,SITTING
-0.007424,0.042301,9.776784,0.000349,0.008703,-0.000686,0.034240,0.008235,0.036931,0.003115,SITTING
0.005402,0.024104,9.851618,0.005047,0.010388,0.002115,0.011000,0.013883,0.044765,0.006381,SITTING
0.014609,0.031823,9.716683,0.005712,0.004109,-0.000414,0.008701,0.019108,0.032285,0.005325,SITTING
0.000390,0.011421,9.864643,-0.003894,0.007635,0.000466,0.019361,0.014206,0.029721,0.007780,SITTING
-0.015500,0.023272,9.869838,-0.000417,-0.000456,0.002322,0.032071,0.025111,0.045029,0.000840,SITTING
0.015520,0.005677,9.852341,-0.002316,0.000902,-0.004563,0.020693,0.017450,0.043042,0.003060,SITTING
-0.015327,0.001993,9.742613,-0.006205,-0.007088,-0.001009,0.028019,0.020206,0.073407,0.009529,SITTING
-0.031684,0.000067,9.802450,-0.000293,-0.000271,-0.001606,0.037998,0.018474,0.031502,0.009029,SITTING
-0.022120,0.006202,9.875137,-0.001525,-0.006872,0.007275,0.025244,0.025582,0.045227,0.004194,SITTING
0.015051,-0.004518,9.851436,-0.004991,-0.008374,-0.001152,0.030536,0.034370,0.051747,0.006907,SITTING
-0.008241,-0.015404,9.832632,0.009241,0.004709,0.000745,0.010592,0.000900,0.058692,-0.000367,SITTING
-0.003905,-0.000836,9.843229,0.007063,0.001253,0.001758,0.017161,0.012343,0.061785,0.008091,SITTING
0.027083,0.009994,9.795242,-0.000452,-0.001304,0.002567,0.007247,0.033290,0.044648,0.001176,SITTING
-0.036771,0.025889,9.841063,0.004397,0.004984,0.004564,0.025746,0.014892,0.039569,0.001477,SITTING
0.032635,0.015216,9.803153,-0.009738,0.008934,0.001653,0.019132,0.012973,0.056014,0.003312,SITTING
0.005417,0.011605,9.829436,0.001207,0.000867,-0.006582,0.010750,0.012862,0.060979,0.004565,SITTING
0.059190,0.023065,9.829418,0.002901,-0.006501,0.005370,0.011452,0.035194,0.030782,0.004207,SITTING
-0.023088,0.057491,9.857576,0.009789,0.009148,0.007650,0.019115,0.036874,0.055984,0.009176,SITTING
0.027705,0.037160,9.746922,-0.002458,-0.004565,0.003305,0.026128,0.025772,0.084212,0.004415,SITTING
0.018118,0.013198,9.845613,-0.001353,0.004139,0.002457,0.027339,0.015215,0.065101,0.006320,SITTING
-0.003509,0.008439,9.932696,0.002429,-0.003183,0.002204,0.014434,0.009298,0.016532,0.006440,SITTING
0.008171,-0.000192,9.801403,0.006707,0.002281,0.000405,0.024071,0.003403,0.061166,0.008946,SITTING
0.026102,0.035574,9.882476,0.001791,0.002836,-0.006286,0.019836,0.026357,0.026635,0.005580,SITTING
0.001534,0.043030,9.792863,0.013029,0.007506,0.004386,0.022638,0.041154,0.079717,0.007308,SITTING
-0.014561,-0.018122,9.794825,-0.000592,0.007069,0.001157,0.019261,0.008105,0.035706,0.004689,SITTING
-0.003702,0.043240,9.880483,0.000797,0.008989,-0.000651,0.033131,0.018777,0.051200,0.010471,SITTING
0.043043,0.037204,9.788416,0.007341,-0.006111,0.004664,0.027973,0.033027,0.062754,0.006301,SITTING
-0.010679,0.046013,9.808004,-0.009175,-0.004544,0.007123,0.025263,0.022042,0.042720,0.000603,SITTING
-0.026681,0.028336,9.721376,-0.006817,0.004271,0.006456,0.000653,0.010970,0.049803,0.008088,SITTING
0.033533,0.043532,9.703557,-0.006444,0.004076,-0.000065,0.023531,0.013847,0.055318,0.001392,SITTING
0.006542,0.047425,9.842190,0.004945,0.000859,-0.003434,0.036937,0.023483,0.066049,0.004920,SITTING
0.038352,0.017703,9.798256,0.008003,0.002984,0.002475,0.029416,0.013586,0.038188,0.004360,SITTING
0.034196,0.017782,9.859258,-0.003325,-0.008723,0.000298,0.014685,0.010788,0.034457,0.006856,SITTING
0.020790,0.030181,9.793225,0.002111,-0.006287,-0.008292,0.017847,0.020663,0.043527,0.001083,SITTING
0.016483,0.023996,9.832067,0.002308,0.001107,-0.000338,0.024463,0.031344,0.040646,0.005976,SITTING
-0.001041,0.070584,9.865224,0.004580,-0.000531,-0.001352,0.008050,0.016257,0.018154,0.004903,SITTING
0.022004,0.016882,9.859550,0.005301,0.004116,-0.000414,0.023685,0.027460,0.025996,0.004366,SITTING
-0.026654,0.019642,9.846701,0.006432,0.001294,-0.002030,0.015667,0.016814,0.051202,0.004982,SITTING
0.000725,0.027569,9.789155,-0.000037,-0.005293,-0.000175,0.029252,0.004068,0.025901,0.004469,SITTING
-0.020054,0.006476,9.774385,0.005242,0.009806,0.009498,0.011550,0.027792,0.006825,0.003586,SITTING
-0.009222,0.051402,9.729416,-0.001797,-0.002433,0.002309,0.015662,0.014450,0.031311,0.010896,SITTING
0.014133,-0.022717,9.817360,0.005976,-0.000966,-0.000993,0.021946,0.035632,0.024000,0.004035,SITTING
-0.001371,-0.003128,9.840327,0.008550,-0.001546,0.001465,0.028311,0.005719,0.050455,0.005954,SITTING
0.003186,0.011026,9.754486,-0.000501,-0.001226,0.006222,0.027054,0.021771,0.062237,0.006145,SITTING
0.055206,0.038449,9.827227,-0.005681,-0.004023,-0.004138,0.012524,0.028457,0.045460,0.005807,SITTING
0.005707,0.038510,9.819204,0.001096,0.003286,-0.002523,0.009766,0.033450,0.047301,0.007012,SITTING
0.010512,0.025044,9.877274,0.003598,0.001060,0.002975,0.020068,0.026155,0.026177,0.002958,SITTING
0.008424,0.032282,9.857660,-0.002707,-0.002923,0.010550,0.021807,0.009751,0.083394,0.000663,SITTING
0.021872,0.058967,9.703475,-0.005284,0.001282,0.007232,0.032696,0.019023,0.033996,0.004884,SITTING
-0.001657,0.024683,9.788070,0.003164,0.001124,-0.004469,0.015302,0.015977,0.069345,0.007565,SITTING
0.029978,0.034135,9.785492,0.005098,-0.003981,0.006795,0.006129,0.012685,0.053504,0.001753,SITTING
-0.010092,0.025603,9.861373,0.006342,0.009203,-0.004103,-0.009307,0.026069,0.032441,0.006663,SITTING
-0.009138,0.045864,9.777579,0.006160,-0.001978,0.006816,0.012469,0.031776,0.052737,0.005320,SITTING
0.006762,0.054638,9.823746,0.007622,0.004490,0.003451,0.019547,0.022938,0.048417,0.004388,SITTING
0.013461,0.048316,9.863846,0.004906,0.006470,0.005102,0.022330,0.012490,0.059054,0.005698,SITTING
0.005658,0.039236,9.804729,-0.000764,0.003494,0.000616,0.027060,0.025822,0.041462,0.010790,SITTING
-0.001520,0.041225,9.820066,0.001388,-0.005824,0.003697,0.015251,0.013867,0.066721,0.001921,SITTING
-0.007432,-0.005049,9.757032,-0.008085,0.010192,0.003936,0.023433,0.021584,0.042328,0.003996,SITTING
-0.015283,0.006524,9.712485,0.000201,-0.002512,0.004981,0.025878,0.019856,0.054146,0.009396,SITTING
-0.022676,0.016153,9.811035,0.000562,0.006191,0.007418,0.027395,0.016351,0.049260,0.007304,SITTING
0.027309,0.001218,9.798397,0.000445,-0.003438,-0.004634,-0.000638,0.025123,0.069031,0.003505,SITTING
0.024495,0.007204,9.759036,0.006186,0.004633,0.002769,0.007304,0.023437,0.039255,0.008988,SITTING
0.032210,0.010232,9.862233,-0.000705,-0.001293,-0.001876,0.013293,0.008064,0.082558,0.006190,SITTING
0.026951,0.027775,9.784086,0.008905,-0.001365,0.001405,0.012387,0.020118,0.074184,0.004272,SITTING
0.011645,-0.012532,9.784162,0.002483,0.008623,0.008814,0.027209,0.011559,0.024368,0.000470,SITTING
0.023451,0.020707,9.708874,0.006662,0.006943,0.008686,0.019677,0.024547,0.056060,0.002792,SITTING
-0.003769,0.043306,9.850291,-0.004228,0.010621,-0.000889,0.014281,0.020388,0.067829,0.000232,SITTING
-0.004843,0.002276,9.889882,-0.003301,-0.003163,0.002288,0.003358,0.022800,0.076771,0.007448,SITTING
-0.003284,0.040127,9.804040,-0.002228,-0.005101,0.006567,0.033068,0.019447,0.016451,0.006857,SITTING
0.007229,0.005561,9.824548,-0.001859,-0.006065,-0.002803,0.023454,0.028553,0.044525,0.004418,SITTING
0.020190,0.077591,9.779433,0.002328,0.003995,-0.005709,0.027419,0.026294,0.064891,0.003779,SITTING
-0.013527,0.036556,9.830400,0.006321,-0.002993,0.000890,0.000770,-0.000292,0.057258,0.003726,SITTING
-0.030288,0.022389,9.768601,-0.001610,0.001370,0.000016,0.024382,0.024834,0.037942,0.000396,SITTING
-0.007797,0.028907,9.773648,0.000785,-0.001862,0.001554,0.007963,0.027095,0.013034,0.004574,SITTING
0.005016,0.057496,9.791446,0.003976,0.000710,0.005769,0.015603,0.016018,0.042863,0.007302,SITTING
-0.013705,0.044178,9.758994,0.004603,0.003060,0.002481,0.007487,0.030013,0.040131,0.003361,SITTING
-0.003484,0.003587,9.811230,0.003196,-0.004000,0.004080,0.020976,0.032868,0.041997,0.001678,SITTING
-0.013772,0.012963,9.792356,0.000182,-0.000486,-0.004237,0.016081,0.028117,0.045764,0.003505,SITTING
